Business Name,Address,website,Phone_Number,reviews_count,reviews_average,latitude,longitude
"Try A Tattoo Studio | Best Tattoo Artist in Rohini,New Delhi · Visited link","C, 5/37, Sector 6 Rd, Pocket D-6, Pocket 5, Sector 6, Rohini, Delhi, 110085",instagram.com,099112 33058,,,28.7119059,76.8200415
Ink Mink Tattooz - Best Tattoo Artist in Rohini · Visited link,"M2K Cinemas, Shop No. 108, First Floor, Aggarwal City Plaza, Sector 3, Rohini, Delhi, 110085",,097175 56727,,,28.7119059,76.8200415
MARVELOUS TATTOO VILLA · Visited link,"A3, 74, Pocket 3, Sector 16, Rohini, Delhi, 110089",,078380 09898,,,28.7119059,76.8200415
TATTOO SHOP · Visited link,"G-8/66, Pocket 8, Sector 16, Rohini, Delhi, 110089",instagram.com,070110 90334,,,28.7119059,76.8200415
MU TATTOO STUDIO · Visited link,"Amba Tower, DC Chowk G. 36A, Sector-9 Rohini,, Delhi, 110085",,099116 56970,,,28.7119059,76.8200415
Crystal tattoo studio · Visited link,"A1/235, Sector 6 Rd, Pocket 1, Sector 6A, Rohini, Delhi, 110085",business.google.com,097167 43159,,,28.7119059,76.8200415
Alwin Tattoos · Visited link,"A-4/180, Giani Gurumukhi Musaphir Marg, Pocket 4, Sector 17A, Rohini, Delhi, 110089",,099906 93469,,,28.7119059,76.8200415
Skin With Ink · Visited link,"Shop no.66. Ground floor Garg Trade Center, G3S, Sector 11, Rohini, Delhi, 110085",,099901 93526,,,28.7119059,76.8200415
I Like Tattoo · Visited link,"A, 47, Sunday bazaar road, near Malik property, Vijay Vihar Phase II, Gopal Vihar, Sector 1, Rohini, New Delhi, Delhi, 110085",,097175 29264,,,28.7119059,76.8200415
Ink Addiction Tattoo · Visited link,"D, 7/223, Sector 6 Rd, Pocket 7, Sector 6D, Rohini, New Delhi, Delhi, 110085",,096504 08251,,,28.7119059,76.8200415
RJ Tattoos,"Gate No.3, Metro Station, Shop No.18, 1st Floor, near Pitampura, DDA Market, Block FD, Pitampura, Delhi, 110034",,098118 31448,,,28.7119059,76.8200415
K tattoos - Tattoos by Kiran | best tattoo artist in rohini | professional tattoo artist in delhi. · Visited link,"A- 77, 2nd Floor, Vijay Vihar Phase- 1 Near Rama Dairy, 40 Feet Road, Sunday, Shani Bazar Rd, Rohini, Delhi 110085",instagram.com,093544 42144,,,28.7119059,76.8200415
Krijues Tattoos Best Tattoo Studio And Training institute · Visited link,"A, 77, Gurudwara Rd, near metro pillar no. 745, near Natkhat bakery, Mohan Garden, Nawada Extension, Uttam Nagar, New Delhi, Delhi, 110059",,093151 90918,,,28.7119059,76.8200415
"Circle Tattoo Delhi - Best Tattoo Studio in Punjabi Bagh, Delhi · Visited link","First floor, Shop, 26, Club Rd, next to Bikanervala, West Punjabi Bagh, Punjabi Bagh, Delhi, 110026",circletattoos.com,098722 41515,,,28.7119059,76.8200415
J TATTOO · Visited link,"Shop No. 5, First Floor, D-14 /240, near Metro Pillar No. 412, Sector 7, Rohini, Delhi, 110085",,,,,28.7119059,76.8200415
Inkhub Tattoo Studio · Visited link,"C7/84, opposite Woodland Showroom, Pocket 7, Sector 7, Rohini, Delhi, 110085",,084478 85150,,,28.7119059,76.8200415
KDzTattoos Studio/Training Institute · Visited link,"J - 13/65 Basement Floor, Block J, Rajouri Garden Extension, Rajouri Garden, New Delhi, Delhi, 110027",kdztattoos.com,073939 22222,,,28.7119059,76.8200415
Tattoo Desire · Visited link,"3178, Rooftop, near Pawan projects, Mahindra Park, Rani Bagh, Pitampura, Delhi, 110034",,075031 59394,,,28.7119059,76.8200415
Allegiant.ink.Tattoos · Visited link,"1201. first floor, near by bombay jewels, Main Market, Rani Bagh, New Delhi, Delhi 110034",,095994 63620,,,28.7119059,76.8200415
Omi Infinite Ink Tattooz · Visited link,"Shop no-2 ground floor H-1/17, near by Taneja Clinic, Budh Vihar Phase I, Delhi, 110086",,096545 20193,,,28.7119059,76.8200415
Tattoo666 · Visited link,"shop no-G-88, M2K Cinemas, M2k, next to pizzahut, Sector 3, Rohini, Delhi, 110085",,095825 87812,,,28.7119059,76.8200415
Ink hub by Gaurav Khurana · Visited link,"SHOP NO.9, DDA Market, A-1, A1 Block Paschim Vihar, A 2 Block, Paschim Vihar, New Delhi, Delhi, 110063",,099999 27563,,,28.7119059,76.8200415
Guns N Needles Tattoo Studio · Visited link,"136, Aggarwal City Plaza, Maharaja Agrasen Marg, Mangalam Place, Rohini, Delhi, 110085",,095820 79090,,,28.7119059,76.8200415
Aliens Tattoo Delhi · Visited link,"Shop No.2, Basement, Club Rd, Commercial Market, Punjabi Bagh, New Delhi, Delhi 110026",alienstattoo.com,098330 65209,,,28.7119059,76.8200415
The Rogue Tattoos · Visited link,"B- 1/18- B Paschim Vihar, New Delhi, Delhi 110063",roguetattoos.in,099719 47774,,,28.7119059,76.8200415
Black Ink Tattoo · Visited link,"Z-7 rajouri Garden, New Delhi, Delhi 110027",,,,,28.7119059,76.8200415
Ink Mink Tattooz · Visited link,"Anshul Plaza, Shop No. 4, First floor, near gufa mandir and D.A.V. Model school, Shalimar Bagh, Delhi, 110088",,097170 14906,,,28.7119059,76.8200415
Syahee Tattoos · Visited link,"23/2 A, Jail Rd, near Sukho Khalsa School, Prem Nagar, Tilak Nagar, Delhi, 110018",syaheetattoos.com,099115 62527,,,28.7119059,76.8200415
DEV TATTOO (Best Tattoo Artist in Delhi) · Visited link,"First Floor, H Block, H-28, Arya Samaj Rd, near Goyal Sons Chowk, SDM Market, Block O, Uttam Nagar New, Delhi, 110059",devtattoos.com,,,,28.7119059,76.8200415
Noble Tattoos Tilak Nagar West Delhi · Visited link,"1/35, Mall Rd, Block 1, Tilak Nagar, New Delhi, Delhi, 110018",nobletattoos.com,099116 47008,,,28.7119059,76.8200415
Hitesh Tattooz · Visited link,"56c, Arya Samaj Rd, SDM Market, Block G, Uttam Nagar, Delhi, 110059",,098736 32069,,,28.7119059,76.8200415
Tattoo Elysium · Visited link,"11/39, Block 11, Subhash Nagar, New Delhi, Delhi, 110027",tattooelysium.in,072177 42323,,,28.7119059,76.8200415
Point Black Tattoo Studio · Visited link,"B-4 First Floor, above Rattan Diary, Shivaji Enclave, Market, New Delhi, Delhi 110027",,079824 54779,,,28.7119059,76.8200415
